Date,Suburb,State,Postcode,Beds,Baths,Cars,Land,Type,SaleType,Median price,Price,latitude,longitude,dist_to_cbd
10/07/2025,LOWER BARRINGTON,TAS,7306,3,1,5,,House,PRIVATE TREATY,540000,725000,-41.2870148,146.3080376,196.2876562
30/07/2025,PARADISE,SA,5075,2,1,1,,House,PRIVATE TREATY,495000,725000,-34.8702885,138.6757767,9.45010411
1/08/2025,STRATHNAIRN,ACT,2615,3,2,2,,Townhouse,PRIVATE TREATY,980000,725000,-35.2323902,148.985554,12.77452343
4/08/2025,ELLENBROOK,WA,6069,4,2,2,,House,PRIVATE TREATY,505000,725000,-31.7714104,115.9720909,23.01813911
6/08/2025,CASEY,ACT,2913,3,2,1,212,House,PRIVATE TREATY,980000,725000,-35.1758374,149.0950732,13.51966124
6/08/2025,CRESTMEAD,QLD,4132,3,2,2,500,House,PRIVATE TREATY,670000,725000,-27.6961228,153.0877805,25.96008934
7/08/2025,KEARNEYS SPRING,QLD,4350,4,2,2,360,House,PRIVATE TREATY,670000,725000,-27.6066364,151.9360096,108.4981415
8/08/2025,MAROOCHYDORE,QLD,4558,2,1,2,,Apartment/Unit/Flat,AUCTION,660000,725000,-26.6444171,153.0762862,91.51319783
9/08/2025,MONCRIEFF,ACT,2914,3,1,1,226,House,AUCTION,980000,725000,-35.1567304,149.1220044,15.74130414
11/08/2025,MONCRIEFF,ACT,2914,3,1,1,227,House,PRIVATE TREATY,980000,725000,-35.1567304,149.1220044,15.74130414
12/08/2025,SYDNEY,NSW,2000,1,1,1,,Apartment/Unit/Flat,PRIVATE TREATY,1415000,725000,-33.8743784,151.2046124,0.606982169
12/08/2025,MUNNO PARA WEST,SA,5115,4,2,1,300,House,PRIVATE TREATY,495000,725000,-34.6619323,138.6600851,30.04535409
12/08/2025,CLYDE NORTH,VIC,3978,4,2,2,350,House,PRIVATE TREATY,550000,725000,,,
12/08/2025,GLENROY,VIC,3046,3,2,2,206,Townhouse,PRIVATE TREATY,550000,725000,-37.7084438,144.9154218,12.4741969
13/08/2025,ERSKINEVILLE,NSW,2043,1,1,,,Apartment/Unit/Flat,PRIVATE TREATY,645000,725000,-33.9035263,151.1830615,4.404842617
13/08/2025,WOODRIDGE,QLD,4114,3,1,4,605,House,PRIVATE TREATY,670000,725000,-27.6298693,153.1012611,19.41419739
13/08/2025,TRUGANINA,VIC,3029,4,2,2,482,House,PRIOR TO AUCTION,550000,725000,-37.8660329,144.7234035,21.87394168
14/08/2025,MORPHETT VALE,SA,5162,3,1,1,325,House,PRIVATE TREATY,495000,725000,-35.1113606,138.5312653,21.26650711
14/08/2025,PARKWOOD,WA,6147,4,1,2,,House,PRIVATE TREATY,505000,725000,-32.0446743,115.912892,11.01568781
15/08/2025,CORALVILLE,NSW,2443,3,1,1,4047,House,PRIVATE TREATY,752000,725000,-31.7846931,152.6623913,268.3433102
15/08/2025,GOOLWA NORTH,SA,5214,3,2,2,535,House,PRIVATE TREATY,495000,725000,-35.4933101,138.7983669,65.24946869
15/08/2025,DIGGERS REST,VIC,3427,4,2,2,441,House,PRIVATE TREATY,550000,725000,-37.6214025,144.6994224,31.60519997
15/08/2025,BONNIE BROOK,VIC,3335,4,2,2,400,House,PRIVATE TREATY,550000,725000,-37.7057649,144.6810631,27.62135903
11/08/2025,MOORE PARK BEACH,QLD,4670,4,2,2,931,House,PRIVATE TREATY,670000,724500,-24.713245,152.2700086,314.469545
23/05/2025,HOPPERS CROSSING,VIC,3029,3,2,2,587,House,PRIVATE TREATY,550000,724000,-37.8724711,144.7095415,23.24100845
